,Proteome,Genome
Δ16,8.40035963726683,30
MS56,4.0339537108758785,24
MDS69,2.457452152425991,20
MDS42,1.6567038053971048,14
MDS12,0.7240454046327008,8
DGF298,5.994830049754799,35
DGF327,5.504791458195929,29
MGF02,4.250708327509121,25
MGF01,4.012481659708826,22
PFC,0.44,0
