,ME units,ME (ATP hydr) Mb,ME (ATP hydr) 950b,Lynch & Marinov 950b
Replication,0.016807404105231676,4400616.84876979,4180.5860063313,136000
Transcription,0.28688808644166874,75114785.0674665,71359.04581409317,150000
UPF,6.987294712590917,1829456033.0096743,1737983.2313591908,4114000
