3756,b3558,insK,853
3757,b3557,insJ,523
3758,b4455,hokA,154
3759,b3556,cspA,214
3760,b3555,yiaG,292
3761,b3554,yiaF,712
3762,b3553,tiaE,976
3763,b3552,yiaD,661
8215,b3544,dppA,1609
8216,b3543,dppB,1021
8217,b3542,dppC,904
8218,b3541,dppD,985
8219,b3540,dppF,1006
8903,b0016,insL,1114
8904,b0018,mokC,211
8905,b4412,hokC,154
13353,b0021,insB,505
13354,b0022,insA,277
18809,b1033,ycdW,940
18810,b1034,ycdX,739
18811,b1035,ycdY,556
18812,b1036,ycdZ,493
18813,b1037,csgG,835
18814,b1038,csgF,418
18815,b1039,csgE,391
18816,b1040,csgD,652
18817,b1041,csgB,457
18818,b1042,csgA,457
18819,b1043,csgC,334
18820,unique to W3110,insD,925
18821,unique to W3110,insC,367
18822,b1044,ymdA,313
18823,b1045,ymdB,535
18824,b1046,ymdC,1423
18825,b1047,mdoC,1159
18826,b1048,mdoG,1537
18827,b1049,mdoH,2545
18828,b1050,yceK,229
18829,b1051,msyB,376
18830,b1053,mdtG,1228
23470,b4573,ychG,774
23471,b1241,adhE,2677
23472,b1242,ychE,649
23473,unique to W3110,insC,367
23474,unique to W3110,insD,925
23475,b1243,oppA,1633
23476,b1244,oppB,922
23477,b1245,oppC,910
23478,b1246,oppD,1015
23479,b1247,oppF,1006
23480,b1248,yciU,331
27973,b1296,puuP,1387
27974,b1297,puuA,1420
27975,b1298,puuD,766
27976,b1299,puuR,559
27977,b1300,puuC,1489
27978,b1301,puuB,1282
27979,b1302,puuE,1267
32453,b1330,ynaI,1033
32454,b1331,insH,1018
32455,b1332,ynaJ,259
36930,b1361,ydaW,562
36931,b1362,rzpR,301
36932,b4528,rzoR,187
36933,b1363,trkG,1459
36934,b1365,ynaK,265
36935,b1366,ydaY,361
36936,b1368,ynaA,1030
36937,b4570,lomR,1528
36938,b1370,insH,982
36939,b1372,stfR,3364
36940,b1373,tfaR,577
36941,b1374,pinR,592
36942,b1375,ynaE,268
36943,b1376,uspF,436
36944,b1377,ompN,1135
41414,b4492,ydbA,8623
41415,b1402,insD,907
41416,b1403,insC,412
41417,b1404,insI,1153
41418,b1406,ydbC,862
41419,b1407,ydbD,2308
41420,b1408,ynbA,607
41421,b1409,ynbB,898
41422,b1410,ynbC,1759
41423,b1411,ynbD,1294
45887,b1431,ydcL,670
45888,b4578,yncK,508
45889,b1432,ydcM,1210
45890,b1433,ydcO,1177
45891,b1434,ydcN,538
45892,b1435,ydcP,1963
45893,b1436,yncJ,232
45894,b4532,yncN,178
45895,b1438,ydcQ,439
45896,b1439,ydcR,1408
45897,b1440,ydcS,1147
45898,b1441,ydcT,1015
45899,b1442,ydcU,943
45900,b1443,ydcV,796
45901,b1444,ydcW,1426
45902,b1445,ydcX,175
45903,b1446,ydcY,235
45904,b1447,ydcZ,451
45905,b1448,yncA,520
50351,b1450,yncC,667
50352,b1451,yncD,2104
50353,b1452,yncE,1063
50354,b1453,ansP,1501
50355,b1454,yncG,619
50356,b1455,yncH,214
50357,b1456,rhsE,2050
50358,b1457,ydcD,484
50359,b1458,yncI,748
50360,b1459,yncM,202
50361,b1460,ydcC,1138
50362,b1461,ydcE,235
50363,b1462,yddH,571
50364,b1463,nhoA,847
50365,b1464,yddE,895
50366,b1465,narV,682
50367,b1466,narW,697
50368,b1467,narY,1546
50369,b1468,narZ,3742
54851,b1507,hipA,1324
54852,b1508,hipB,268
54853,b1509,ydeU,1402
54854,b1510,ydeK,3979
59364,b1575,dicB,190
59365,b1576,ydfD,193
59366,b1577,ydfE,922
59367,b1578,insD,658
59368,b1579,intQ,1198
59369,b4534,ynfP,112
59370,b1580,rspB,1021
59371,b1581,rspA,1216
59372,b1582,ynfA,328
59373,b1583,ynfB,343
64254,b4539,yoeB,256
64255,b2017,yefM,253
68875,b2190,yejO,2512
68876,b2192,insH,1018
73422,unique to W3110,insB,505
73423,unique to W3110,insA,277
77952,b2372,yfdV,946
77953,b2373,oxc,1696
77954,b2374,frc,1252
77955,b2375,yfdX,637
77956,b2376,ypdI,277
77957,b2377,yfdY,244
77958,b2378,ddg,922
77959,b2379,yfdZ,1240
77960,b2380,ypdA,1699
77961,b2381,ypdB,736
77962,b2382,ypdC,859
77963,b2383,ypdD,2497
77964,b2384,ypdE,1039
77965,b2385,ypdF,1087
77966,b2386,ypdG,1249
77967,b2387,ypdH,328
82417,b2394,insL,1114
82418,b2395,yfeA,2191
87240,b2782,chpA,337
91945,b3043,ygiL,553
91946,b3044,insC,412
91947,b3045,insD,907
91948,b3046,yqiG,2467
96922,b3709,tnaB,2448
96923,unique to W3110,insH,982
96924,b3708,tnaA,1417
96925,unique to W3110,insH,982
96926,b3707,tnaC,76
101485,b3596,yibG,463
101486,b3595,yibJ,703
101487,b3594,yibA,844
101488,b3593,rhsA,4135
101489,b3592,yibF,610
101490,b3591,selA,1393
101491,b3590,selB,1846
101492,b3589,yiaY,1153
101493,b3588,aldB,1540
101494,b3587,yiaW,325
101495,b3586,yiaV,1138
101496,b3585,yiaU,976
101497,b3584,yiaT,742
101498,b3583,sgbE,697
